code,name,total_mv_start,total_mv_end,mv_ratio,total_share_start,total_share_end,share_ratio,close_start,close_end,adj_price_ratio,raw_close_start,raw_close_end,raw_price_ratio
603045,福达合金,126505.7748,1146543.618,9.06317217386032,13544.5155,13544.5155,1.0,13.66,119.5277,8.75019765739385,9.34,84.65,9.063169164882227
002052,同洲电子,68628.2918,617000.554,8.990469350426116,74595.9694,75243.9694,1.0086867964209336,6.657,55.8323,8.387006158930449,0.92,8.2,8.91304347826087
920438,戈碧迦,183625.0,1636593.75,8.912695711368277,14125.0,14547.5,1.0299115044247789,,,,,,
605318,法狮龙,175026.911,1546466.7,8.835593859049482,12917.1152,12572.9028,0.9733522234128561,14.449,124.4181,8.61084504117932,13.55,123.0,9.077490774907748
688167,炬光科技,528625.5624,4664702.316,8.824208755289657,9036.3344,13013.8971,1.4401743587532574,59.229,519.8083,8.776246433335022,58.5,358.44,6.127179487179487
688308,欧科亿,324708.5929,2862516.4876,8.815647476510007,15878.1708,15878.1708,1.0,30.847,255.5029,8.282909197004571,20.45,180.28,8.815647921760391
301362,民爆光电,332955.27,2933196.5806,8.809581481019958,10467.0,14594.4676,1.3943314798891755,34.19,286.3108,8.37410938871015,31.81,200.98,6.318138950015718
688227,品高股份,133066.0587,1172157.3504,8.808837970039013,11305.5275,11305.5275,1.0,12.043,104.029,8.638130034044673,11.77,103.68,8.808836023789295
300179,四方达,314383.013,2768141.076,8.804995694853272,48590.883,48572.393,0.9996194759416082,44.276,350.2063,7.909619206793748,6.47,56.99,8.808346213292118
688260,昀冢科技,170280.0,1483200.0,8.710359408033826,12000.0,12000.0,1.0,14.324,123.802,8.642976822116728,14.19,123.6,8.710359408033826
603929,亚翔集成,520598.4,4497628.8,8.639344262295081,21336.0,21336.0,1.0,26.71,216.561,8.107862223886185,24.4,210.8,8.639344262295083
603773,沃格光电,450941.802,3869184.869,8.580231089332454,22279.7333,22473.6633,1.0087043232245514,45.367,377.9463,8.330863843763089,20.24,172.15,8.505434782608697
688622,*ST禾信,113046.1337,962981.523,8.518482600701274,6999.7606,7046.5521,1.0066847286177187,16.32,136.8536,8.38563725490196,16.15,136.66,8.461919504643964
688368,晶丰明源,496219.5555,4222577.4336,8.50949420835552,8782.647,20363.5138,2.3186077955768916,84.34,412.975,4.896549679867205,56.5,207.36,3.6700884955752215
300806,斯迪克,498630.5533,4240626.1775,8.504545398261298,45330.0503,45330.0503,1.0,40.141,336.1577,8.374422660123066,11.0,93.55,8.504545454545454
301128,强瑞技术,267247.9118,2269005.2904,8.490263871914003,7388.6622,14481.7778,1.9599999848416403,37.87,310.362,8.19545814628994,36.17,156.68,4.331766657450927
301228,实朴检测,106920.0,901200.0,8.428731762065095,12000.0,12000.0,1.0,9.11,75.297,8.265312843029639,8.91,75.1,8.428731762065095
600183,生益科技,4856790.8145,40777624.0104,8.396001715506866,236455.249,242911.923,1.0273061140630462,185.848,1284.747,6.912891179888941,20.54,167.87,8.172833495618306
301093,华兰股份,257931.9597,2119842.656,8.218611832615018,12935.4042,16420.1624,1.2693969315624478,20.94,169.7536,8.106666666666666,19.94,129.1,6.474423269809428
301373,凌玮科技,240591.0978,1969853.336,8.187557037698507,10847.2091,10847.2091,1.0,23.08,184.2045,7.981130849220104,22.18,181.6,8.18755635707845
300570,太辰光,736345.3028,6007960.7588,8.159162197347285,22712.6867,22712.6867,1.0,62.52,485.4316,7.764420985284708,32.42,264.52,8.159161011721158
600353,旭光电子,498684.7914,4044598.656,8.110531393278018,83114.1319,82881.1159,0.9971964334503265,58.577,457.0956,7.803328951636308,6.0,48.8,8.133333333333333
